timeMs,ax,ay,az,q0,q1,q2,q3
2009911,5215.0,4075.0,3730.0,0.565,0.534,0.032,0.628
2009927,5827.0,4663.0,3988.0,0.561,0.541,0.025,0.626
2009943,6233.0,5077.0,4068.0,0.558,0.546,0.017,0.624
2009969,6439.0,5275.0,4152.0,0.556,0.552,0.01,0.622
2009985,6545.0,5361.0,4416.0,0.554,0.556,0.003,0.62
2010001,6525.0,5303.0,4632.0,0.553,0.56,-0.003,0.618
2010017,6563.0,5077.0,4700.0,0.552,0.562,-0.01,0.615
2010033,6509.0,4807.0,4536.0,0.552,0.564,-0.016,0.614
2010049,6361.0,4749.0,4430.0,0.551,0.566,-0.021,0.613
2010075,6265.0,4729.0,4528.0,0.551,0.567,-0.026,0.611
2010091,6265.0,4731.0,4404.0,0.551,0.568,-0.032,0.61
2010107,6309.0,4541.0,4342.0,0.551,0.569,-0.037,0.609
2010123,6359.0,4433.0,4174.0,0.552,0.569,-0.043,0.608
2010139,6361.0,4409.0,3882.0,0.552,0.569,-0.047,0.608
2010155,6247.0,4393.0,3648.0,0.552,0.569,-0.052,0.607
2010181,6187.0,4403.0,3478.0,0.552,0.569,-0.057,0.607
2010197,6107.0,4397.0,3198.0,0.552,0.569,-0.061,0.606
2010213,6163.0,4389.0,2914.0,0.552,0.569,-0.067,0.606
2010229,6215.0,4503.0,2854.0,0.553,0.569,-0.072,0.605
2010245,6401.0,4385.0,3336.0,0.553,0.569,-0.079,0.603
2010271,6523.0,4249.0,3344.0,0.554,0.569,-0.085,0.602
2010287,6687.0,4029.0,3370.0,0.555,0.569,-0.091,0.601
2010303,6773.0,3971.0,3266.0,0.555,0.568,-0.096,0.6
2010319,6689.0,4065.0,3284.0,0.555,0.568,-0.1,0.6
2010335,6639.0,4121.0,3320.0,0.555,0.567,-0.103,0.6
2010351,6659.0,4003.0,3320.0,0.554,0.568,-0.105,0.599
2010377,6637.0,3921.0,3174.0,0.554,0.569,-0.107,0.599
2010393,6755.0,3989.0,3056.0,0.553,0.57,-0.108,0.598
2010409,6667.0,4205.0,3054.0,0.552,0.571,-0.109,0.597
2010425,6585.0,4319.0,3050.0,0.552,0.572,-0.111,0.597
2010441,6503.0,4281.0,3010.0,0.552,0.573,-0.113,0.596
2010457,6583.0,4179.0,3004.0,0.552,0.573,-0.115,0.595
2010483,6605.0,4107.0,3030.0,0.552,0.574,-0.117,0.594
2010499,6675.0,4125.0,3058.0,0.552,0.575,-0.119,0.592
2010515,6709.0,4065.0,3074.0,0.552,0.575,-0.121,0.591
2010531,6759.0,4093.0,3098.0,0.553,0.576,-0.123,0.59
2010547,6789.0,4073.0,3042.0,0.553,0.576,-0.125,0.589
2010563,6831.0,4111.0,3052.0,0.553,0.577,-0.127,0.587
2010589,6879.0,4159.0,3060.0,0.554,0.577,-0.129,0.586
2010605,6891.0,4057.0,3136.0,0.555,0.577,-0.131,0.585
2010621,6893.0,3955.0,3004.0,0.557,0.576,-0.134,0.583
2010637,6865.0,3893.0,2870.0,0.558,0.576,-0.136,0.582
2010653,6827.0,3969.0,2782.0,0.56,0.575,-0.139,0.58
2010669,6703.0,4071.0,2658.0,0.563,0.573,-0.143,0.578
