timeMs,ax,ay,az,q0,q1,q2,q3
1334028,7536.0,7591.0,2948.0,0.222,-0.433,-0.412,-0.77
1334045,7118.0,7369.0,3278.0,0.223,-0.452,-0.402,-0.765
1334061,8342.0,6815.0,3920.0,0.223,-0.47,-0.392,-0.758
1334078,8968.0,5329.0,4492.0,0.222,-0.485,-0.385,-0.753
1334095,9822.0,5093.0,5222.0,0.221,-0.496,-0.38,-0.749
1334111,10318.0,5875.0,5354.0,0.22,-0.501,-0.38,-0.746
1334138,9962.0,4665.0,5618.0,0.22,-0.499,-0.385,-0.745
1334154,8540.0,5021.0,5346.0,0.221,-0.491,-0.395,-0.745
1334170,6670.0,8411.0,5932.0,0.221,-0.481,-0.406,-0.745
1334186,7950.0,9037.0,5920.0,0.22,-0.47,-0.416,-0.746
1334202,8810.0,5615.0,4838.0,0.217,-0.456,-0.426,-0.751
1334218,8310.0,4885.0,5722.0,0.218,-0.437,-0.441,-0.753
1334235,8706.0,8101.0,4466.0,0.22,-0.415,-0.459,-0.754
1334262,7316.0,4663.0,3226.0,0.221,-0.391,-0.477,-0.755
1334278,6746.0,9807.0,2596.0,0.216,-0.37,-0.494,-0.757
1334294,8304.0,8229.0,3172.0,0.209,-0.35,-0.505,-0.76
1334310,6830.0,2771.0,3468.0,0.203,-0.328,-0.518,-0.763
1334326,6246.0,7041.0,2956.0,0.2,-0.306,-0.536,-0.761
1334342,6590.0,9805.0,2390.0,0.191,-0.285,-0.55,-0.762
1334368,6606.0,5557.0,2992.0,0.18,-0.263,-0.559,-0.766
1334384,6424.0,5835.0,3560.0,0.171,-0.239,-0.572,-0.766
1334400,4220.0,5209.0,3210.0,0.162,-0.213,-0.585,-0.765
1334417,3556.0,8907.0,2500.0,0.152,-0.188,-0.599,-0.763
1334434,4432.0,12003.0,1854.0,0.141,-0.167,-0.606,-0.765
1334451,4670.0,6041.0,1654.0,0.127,-0.147,-0.608,-0.77
1334467,3626.0,5957.0,1652.0,0.115,-0.125,-0.612,-0.772
1334484,3310.0,6285.0,1788.0,0.104,-0.105,-0.617,-0.773
1334511,2612.0,6509.0,1438.0,0.091,-0.086,-0.622,-0.773
1334528,2874.0,7055.0,910.0,0.079,-0.069,-0.627,-0.772
1334544,2514.0,7435.0,1062.0,0.068,-0.053,-0.629,-0.773
1334560,2468.0,4699.0,1330.0,0.057,-0.037,-0.63,-0.773
1334577,1564.0,3723.0,1428.0,0.047,-0.022,-0.635,-0.771
1334594,1092.0,5323.0,964.0,0.039,-0.009,-0.64,-0.768
1334611,1178.0,6273.0,750.0,0.03,0.004,-0.643,-0.765
1334627,1108.0,4965.0,610.0,0.022,0.015,-0.644,-0.764
1334644,794.0,4647.0,1024.0,0.015,0.024,-0.645,-0.764
1334661,298.0,3499.0,1390.0,0.01,0.031,-0.646,-0.763
1334678,690.0,3779.0,844.0,0.005,0.036,-0.648,-0.761
1334695,726.0,3859.0,590.0,0.003,0.039,-0.648,-0.761
1334722,630.0,2907.0,540.0,0.003,0.04,-0.647,-0.761
1334738,464.0,2571.0,490.0,0.005,0.038,-0.646,-0.762
1334754,538.0,2283.0,444.0,0.009,0.032,-0.646,-0.763
1334770,1096.0,2405.0,284.0,0.014,0.024,-0.645,-0.764
