timeMs,ax,ay,az,q0,q1,q2,q3
1928857,10435.0,8078.0,7203.0,0.772,0.631,-0.034,0.069
1928874,5333.0,-9986.0,4691.0,0.772,0.631,-0.039,0.065
1928891,527.0,19112.0,-1699.0,0.764,0.642,-0.036,0.061
1928908,1101.0,7962.0,2999.0,0.765,0.641,-0.03,0.06
1928924,3737.0,5802.0,2967.0,0.762,0.644,-0.024,0.062
1928941,2117.0,10112.0,2191.0,0.76,0.646,-0.016,0.065
1928958,2613.0,7772.0,2935.0,0.756,0.65,-0.006,0.071
1928974,2033.0,11298.0,3533.0,0.751,0.656,0.006,0.076
1928991,2435.0,12760.0,3147.0,0.747,0.659,0.02,0.08
1929008,2241.0,13080.0,3605.0,0.745,0.661,0.034,0.084
1929035,2375.0,13286.0,3247.0,0.744,0.661,0.049,0.086
1929051,2713.0,12688.0,2871.0,0.745,0.658,0.065,0.085
1929067,2277.0,12618.0,2707.0,0.746,0.655,0.083,0.083
1929083,1721.0,11922.0,2863.0,0.748,0.651,0.103,0.079
1929099,1457.0,12046.0,2463.0,0.749,0.647,0.123,0.073
1929115,973.0,12056.0,2673.0,0.751,0.641,0.146,0.065
1929141,401.0,11786.0,2647.0,0.753,0.633,0.169,0.055
1929158,1027.0,12114.0,1841.0,0.756,0.624,0.193,0.044
1929174,621.0,11010.0,1839.0,0.76,0.612,0.218,0.032
1929191,685.0,10728.0,1429.0,0.764,0.598,0.243,0.02
1929208,181.0,10772.0,1201.0,0.768,0.581,0.269,0.007
1929224,-185.0,8404.0,1149.0,0.773,0.563,0.294,-0.005
1929242,-747.0,8018.0,849.0,0.777,0.543,0.319,-0.017
1929259,-997.0,7690.0,397.0,0.78,0.521,0.345,-0.029
1929275,-1681.0,6370.0,527.0,0.783,0.498,0.37,-0.041
1929301,-1815.0,6048.0,285.0,0.786,0.473,0.394,-0.053
1929317,-1767.0,5856.0,-13.0,0.789,0.447,0.417,-0.062
1929333,-2487.0,4276.0,237.0,0.791,0.42,0.439,-0.07
1929349,-2921.0,3330.0,411.0,0.794,0.392,0.459,-0.076
1929365,-2649.0,4232.0,-173.0,0.796,0.363,0.478,-0.081
1929381,-3203.0,2110.0,17.0,0.797,0.333,0.496,-0.084
1929397,-3871.0,2062.0,339.0,0.798,0.304,0.513,-0.086
1929423,-4525.0,2134.0,209.0,0.798,0.274,0.529,-0.087
1929440,-5337.0,1480.0,399.0,0.798,0.245,0.544,-0.086
1929458,-6649.0,1220.0,823.0,0.798,0.215,0.556,-0.084
1929475,-7627.0,222.0,1139.0,0.799,0.183,0.567,-0.082
1929491,-7719.0,-202.0,723.0,0.799,0.152,0.577,-0.08
1929508,-8417.0,-768.0,1255.0,0.798,0.123,0.585,-0.079
1929525,-9595.0,214.0,1737.0,0.797,0.095,0.592,-0.077
1929541,-9715.0,-280.0,1303.0,0.797,0.065,0.597,-0.072
1929558,-9847.0,-1040.0,995.0,0.796,0.037,0.601,-0.068
1929574,-9981.0,-1796.0,1475.0,0.794,0.007,0.605,-0.063
1929601,-10071.0,-1578.0,1427.0,0.791,-0.021,0.609,-0.056
1929617,-10007.0,-1740.0,1289.0,0.788,-0.049,0.612,-0.049
1929633,-9959.0,-1936.0,1147.0,0.784,-0.075,0.615,-0.04
1929649,-9467.0,-2090.0,927.0,0.779,-0.1,0.618,-0.032
1929665,-9061.0,-3178.0,501.0,0.773,-0.125,0.621,-0.024
1929681,-9901.0,-1752.0,491.0,0.767,-0.149,0.624,-0.017
1929707,-9243.0,-1898.0,545.0,0.76,-0.174,0.626,-0.008
1929724,-10179.0,-3160.0,397.0,0.755,-0.196,0.626,0.002
1929741,-9945.0,-2326.0,677.0,0.751,-0.216,0.624,0.014
1929758,-7689.0,-3710.0,-251.0,0.747,-0.234,0.622,0.024
1929774,-8173.0,-2614.0,201.0,0.743,-0.251,0.619,0.032
1929791,-7935.0,-2180.0,229.0,0.739,-0.266,0.617,0.041
1929808,-7689.0,-2162.0,53.0,0.735,-0.282,0.615,0.05
1929825,-8131.0,-1962.0,411.0,0.731,-0.297,0.612,0.059
1929841,-7869.0,-3230.0,441.0,0.726,-0.312,0.609,0.068
