timeMs,ax,ay,az,q0,q1,q2,q3
956539,-5973.0,2943.0,2668.0,0.709,0.377,0.312,-0.508
956556,-6185.0,2775.0,3042.0,0.718,0.349,0.337,-0.498
956573,-6063.0,2685.0,2584.0,0.728,0.319,0.363,-0.487
956590,-6003.0,1733.0,2808.0,0.736,0.288,0.388,-0.474
956608,-6123.0,1311.0,2770.0,0.744,0.256,0.411,-0.46
956628,-6073.0,1115.0,2774.0,0.751,0.224,0.434,-0.445
956647,-6253.0,771.0,2624.0,0.757,0.191,0.455,-0.428
956666,-5941.0,39.0,2466.0,0.763,0.158,0.475,-0.41
956685,-5805.0,-643.0,2024.0,0.767,0.125,0.494,-0.391
956702,-6093.0,-1043.0,1914.0,0.77,0.092,0.511,-0.372
956721,-6243.0,-1525.0,1690.0,0.771,0.06,0.527,-0.352
956740,-6347.0,-2371.0,1906.0,0.772,0.03,0.541,-0.332
956750,-6171.0,-2737.0,1570.0,0.772,0.001,0.553,-0.313
956769,-6185.0,-2743.0,1190.0,0.771,-0.025,0.563,-0.295
956788,-6383.0,-3425.0,1492.0,0.77,-0.05,0.572,-0.278
956807,-6523.0,-3271.0,1352.0,0.769,-0.072,0.579,-0.261
956827,-6453.0,-3899.0,1284.0,0.767,-0.092,0.585,-0.247
956847,-6489.0,-4043.0,1138.0,0.766,-0.109,0.59,-0.233
956856,-6393.0,-4139.0,846.0,0.764,-0.124,0.593,-0.221
956875,-6595.0,-4057.0,864.0,0.763,-0.136,0.596,-0.211
956894,-6639.0,-4743.0,1192.0,0.762,-0.146,0.597,-0.203
956912,-6787.0,-4517.0,982.0,0.762,-0.152,0.598,-0.197
956931,-6889.0,-4557.0,1262.0,0.762,-0.157,0.599,-0.191
956950,-6809.0,-4361.0,1094.0,0.762,-0.159,0.599,-0.187
956959,-6785.0,-4211.0,1128.0,0.762,-0.161,0.599,-0.184
956977,-6911.0,-4137.0,1070.0,0.763,-0.16,0.6,-0.181
956995,-6987.0,-4037.0,1132.0,0.764,-0.158,0.6,-0.179
957013,-7127.0,-3843.0,1304.0,0.764,-0.156,0.6,-0.178
957031,-7223.0,-3603.0,1414.0,0.765,-0.152,0.6,-0.177
