timeMs,ax,ay,az,q0,q1,q2,q3
4175698,4201.0,-2552.0,4161.0,0.837,0.198,-0.174,0.479
4175724,5033.0,-2700.0,4315.0,0.839,0.186,-0.205,0.468
4175740,10853.0,-6938.0,8529.0,0.842,0.173,-0.223,0.46
4175756,7279.0,-4268.0,9501.0,0.844,0.158,-0.233,0.456
4175772,4305.0,-3212.0,10185.0,0.847,0.145,-0.24,0.452
4175788,3967.0,-3946.0,8511.0,0.847,0.139,-0.245,0.451
4175814,3321.0,-3300.0,6645.0,0.846,0.138,-0.246,0.453
4175830,1361.0,-2692.0,5187.0,0.842,0.142,-0.246,0.458
4175847,-1567.0,-970.0,1297.0,0.835,0.152,-0.252,0.465
4175864,979.0,-182.0,1049.0,0.826,0.161,-0.262,0.473
4175880,7665.0,1732.0,5179.0,0.818,0.165,-0.271,0.479
4175896,12813.0,3680.0,12335.0,0.819,0.153,-0.266,0.485
4175912,4751.0,3770.0,10725.0,0.821,0.138,-0.261,0.489
4175938,5977.0,3006.0,9749.0,0.823,0.134,-0.259,0.488
4175954,6181.0,3140.0,7799.0,0.825,0.122,-0.262,0.485
4175970,4035.0,-2234.0,6589.0,0.828,0.11,-0.267,0.481
4175986,4759.0,-3888.0,6233.0,0.828,0.102,-0.269,0.48
4176003,4979.0,-2310.0,7141.0,0.829,0.097,-0.27,0.48
4176019,4565.0,-1854.0,6877.0,0.83,0.092,-0.271,0.479
4176035,4189.0,-2254.0,6479.0,0.831,0.088,-0.272,0.477
4176061,4899.0,-1664.0,7631.0,0.832,0.087,-0.271,0.476
4176077,4967.0,-218.0,6993.0,0.834,0.084,-0.271,0.473
4176093,4557.0,-1428.0,7585.0,0.836,0.077,-0.272,0.47
4176109,3787.0,-3194.0,7713.0,0.838,0.073,-0.271,0.467
4176125,3573.0,-2094.0,7237.0,0.84,0.071,-0.27,0.466
4176141,3955.0,-1078.0,7091.0,0.841,0.07,-0.268,0.465
4176167,4219.0,-1740.0,7365.0,0.842,0.071,-0.265,0.464
4176183,4275.0,-896.0,6601.0,0.843,0.072,-0.262,0.464
4176199,4089.0,692.0,6605.0,0.844,0.07,-0.26,0.464
4176215,4185.0,-2036.0,7081.0,0.847,0.064,-0.257,0.462
4176232,3615.0,-3146.0,6873.0,0.849,0.061,-0.255,0.459
4176249,4425.0,-3996.0,7241.0,0.851,0.064,-0.251,0.457
4176266,5215.0,-3828.0,7263.0,0.854,0.069,-0.246,0.453
4176283,4611.0,-5188.0,7017.0,0.857,0.081,-0.238,0.449
4176309,3791.0,-4598.0,5469.0,0.857,0.101,-0.229,0.45
4176325,4593.0,-2638.0,5433.0,0.854,0.13,-0.217,0.455
4176341,3333.0,-4180.0,5841.0,0.847,0.165,-0.202,0.463
4176357,2273.0,2082.0,6071.0,0.84,0.199,-0.186,0.469
4176373,4949.0,2174.0,4943.0,0.832,0.232,-0.172,0.473
4176389,6447.0,-44.0,3607.0,0.822,0.265,-0.159,0.479
4176415,7039.0,2872.0,3231.0,0.81,0.298,-0.142,0.485
4176431,6623.0,4534.0,4225.0,0.798,0.327,-0.125,0.491
4176448,6231.0,4328.0,4955.0,0.786,0.351,-0.109,0.497
4176465,6307.0,3830.0,5067.0,0.775,0.372,-0.095,0.502
4176481,6085.0,3618.0,4989.0,0.764,0.39,-0.08,0.507
4176497,5455.0,3548.0,5177.0,0.753,0.406,-0.066,0.513
4176514,5333.0,4538.0,5213.0,0.743,0.42,-0.052,0.519
4176540,4943.0,4412.0,5415.0,0.733,0.431,-0.04,0.524
4176556,4671.0,3578.0,5191.0,0.724,0.443,-0.028,0.529
4176572,4793.0,4074.0,4723.0,0.714,0.453,-0.017,0.533
4176588,4763.0,4442.0,4549.0,0.705,0.463,-0.006,0.537
4176604,4171.0,4004.0,4359.0,0.695,0.473,0.004,0.541
4176620,4273.0,4514.0,3891.0,0.685,0.483,0.013,0.545
4176646,4369.0,4712.0,3337.0,0.675,0.493,0.021,0.549
