timeMs,ax,ay,az,q0,q1,q2,q3
1554531,8246.0,2206.0,-56.0,0.215,0.677,-0.218,0.669
1554547,7994.0,-158.0,696.0,0.218,0.672,-0.224,0.671
1554563,7882.0,74.0,914.0,0.222,0.668,-0.23,0.672
1554579,7736.0,38.0,804.0,0.226,0.664,-0.236,0.673
1554605,8122.0,-182.0,284.0,0.23,0.66,-0.241,0.674
1554621,8062.0,-1498.0,-48.0,0.232,0.656,-0.245,0.675
1554638,8570.0,-894.0,180.0,0.234,0.652,-0.246,0.678
1554654,9042.0,-108.0,1098.0,0.239,0.646,-0.245,0.682
1554670,8388.0,-566.0,1440.0,0.242,0.641,-0.243,0.686
1554686,7676.0,344.0,2066.0,0.245,0.638,-0.24,0.689
1554712,7994.0,272.0,1688.0,0.248,0.638,-0.237,0.69
1554728,8484.0,-290.0,1076.0,0.25,0.639,-0.235,0.689
1554744,8988.0,-250.0,550.0,0.252,0.64,-0.232,0.688
1554760,9458.0,242.0,290.0,0.253,0.641,-0.229,0.688
1554776,9462.0,750.0,-230.0,0.255,0.641,-0.225,0.688
1554792,9266.0,690.0,-112.0,0.258,0.638,-0.222,0.691
1554818,8686.0,16.0,278.0,0.261,0.635,-0.218,0.693
1554834,8478.0,402.0,358.0,0.264,0.633,-0.214,0.696
1554850,8206.0,-250.0,654.0,0.268,0.63,-0.209,0.698
1554866,8044.0,-578.0,500.0,0.271,0.628,-0.203,0.7
1554882,8156.0,390.0,618.0,0.274,0.627,-0.194,0.703
1554898,8054.0,820.0,764.0,0.277,0.626,-0.186,0.705
1554924,8068.0,396.0,838.0,0.279,0.624,-0.177,0.708
1554940,7912.0,336.0,1124.0,0.282,0.623,-0.168,0.71
1554956,7942.0,786.0,1148.0,0.285,0.622,-0.158,0.713
1554972,7984.0,1404.0,1280.0,0.287,0.62,-0.148,0.715
1554988,7786.0,1246.0,1396.0,0.29,0.619,-0.139,0.717
1555005,7718.0,1386.0,1600.0,0.293,0.617,-0.13,0.719
1555031,7562.0,944.0,1700.0,0.295,0.616,-0.121,0.72
1555047,7424.0,1354.0,1872.0,0.297,0.616,-0.112,0.721
1555063,7358.0,1704.0,2016.0,0.299,0.615,-0.104,0.722
1555079,7126.0,1380.0,1740.0,0.3,0.615,-0.096,0.723
1555095,6656.0,1764.0,2218.0,0.301,0.616,-0.088,0.723
1555111,6902.0,1772.0,2110.0,0.302,0.616,-0.081,0.723
1555137,6730.0,1794.0,2104.0,0.303,0.618,-0.074,0.722
1555153,6674.0,1932.0,2272.0,0.303,0.619,-0.068,0.721
1555169,6410.0,1728.0,2122.0,0.304,0.621,-0.063,0.72
1555185,6370.0,2210.0,2156.0,0.304,0.624,-0.058,0.718
1555201,6374.0,2342.0,2010.0,0.304,0.627,-0.055,0.715
1555217,6340.0,2172.0,2012.0,0.303,0.63,-0.052,0.713
1555243,6340.0,2202.0,1946.0,0.303,0.633,-0.051,0.711
1555259,6350.0,2494.0,1754.0,0.303,0.636,-0.05,0.708
1555275,6488.0,2506.0,1590.0,0.303,0.638,-0.05,0.706
1555291,6948.0,2844.0,1346.0,0.303,0.641,-0.052,0.704
1555307,7220.0,2578.0,1240.0,0.304,0.641,-0.055,0.702
1555323,7422.0,2504.0,1320.0,0.304,0.642,-0.059,0.702
1555349,7062.0,1770.0,1396.0,0.305,0.642,-0.064,0.701
1555365,7148.0,1814.0,1568.0,0.305,0.642,-0.068,0.7
1555381,7126.0,2014.0,1440.0,0.305,0.643,-0.073,0.699
1555397,7340.0,2256.0,1340.0,0.305,0.644,-0.078,0.697
1555413,7388.0,2266.0,1318.0,0.306,0.645,-0.084,0.695
1555429,7704.0,2064.0,1272.0,0.308,0.646,-0.09,0.693
1555455,7938.0,1950.0,1278.0,0.31,0.647,-0.096,0.69
1555471,7988.0,1612.0,1280.0,0.311,0.648,-0.102,0.688
1555487,8066.0,1930.0,1318.0,0.313,0.649,-0.107,0.685
1555503,8054.0,2042.0,1190.0,0.314,0.651,-0.113,0.682
1555519,8120.0,1970.0,1262.0,0.316,0.653,-0.118,0.679
1555535,8146.0,1954.0,1244.0,0.317,0.655,-0.124,0.675
1555561,8410.0,2028.0,990.0,0.318,0.658,-0.129,0.671
1555577,8466.0,2188.0,874.0,0.319,0.66,-0.135,0.667
1555593,8546.0,2150.0,748.0,0.32,0.662,-0.141,0.663
1555609,8662.0,2116.0,850.0,0.321,0.663,-0.148,0.66
1555625,8650.0,1900.0,864.0,0.322,0.664,-0.155,0.656
1555641,8704.0,1960.0,688.0,0.324,0.666,-0.161,0.653
1555667,8702.0,1704.0,680.0,0.325,0.667,-0.168,0.65
1555683,8530.0,1490.0,726.0,0.326,0.668,-0.174,0.646
1555699,8358.0,1564.0,644.0,0.328,0.669,-0.179,0.643
1555715,12386.0,-1650.0,6174.0,0.328,0.668,-0.182,0.642
1555731,5670.0,-780.0,1494.0,0.323,0.673,-0.18,0.641
1555747,8010.0,2226.0,410.0,0.318,0.678,-0.176,0.639
1555773,8230.0,3392.0,552.0,0.315,0.682,-0.174,0.637
1555789,7868.0,2132.0,564.0,0.312,0.684,-0.174,0.635
1555805,7904.0,1226.0,318.0,0.309,0.687,-0.173,0.634
1555821,8328.0,1972.0,230.0,0.306,0.69,-0.172,0.633
1555837,8378.0,2568.0,208.0,0.303,0.691,-0.171,0.633
1555855,8352.0,1970.0,302.0,0.301,0.692,-0.171,0.634
1555871,8176.0,1924.0,458.0,0.299,0.692,-0.172,0.634
1555897,8308.0,2240.0,500.0,0.298,0.692,-0.172,0.634
1555913,8534.0,2072.0,432.0,0.297,0.692,-0.173,0.634
1555929,8630.0,1962.0,246.0,0.297,0.692,-0.175,0.634
1555945,8488.0,1722.0,322.0,0.296,0.692,-0.176,0.635
1555961,8442.0,1756.0,274.0,0.296,0.691,-0.178,0.635
1555977,8488.0,1720.0,334.0,0.297,0.69,-0.179,0.635
1556003,8510.0,1980.0,478.0,0.298,0.689,-0.18,0.636
1556019,8452.0,1950.0,538.0,0.299,0.688,-0.182,0.636
1556035,8488.0,1888.0,764.0,0.301,0.687,-0.183,0.636
1556051,8454.0,1686.0,738.0,0.304,0.685,-0.185,0.635
1556067,8634.0,2044.0,772.0,0.306,0.684,-0.187,0.635
1556083,8528.0,2216.0,1066.0,0.308,0.682,-0.189,0.636
1556109,8340.0,1422.0,1424.0,0.312,0.68,-0.191,0.636
1556125,8854.0,728.0,1386.0,0.315,0.678,-0.19,0.636
1556141,9366.0,1702.0,1428.0,0.318,0.676,-0.189,0.637
1556157,9276.0,1856.0,2140.0,0.321,0.674,-0.187,0.638
1556173,9616.0,2056.0,2174.0,0.325,0.671,-0.184,0.64
1556199,10050.0,2272.0,2728.0,0.329,0.667,-0.182,0.643
1556215,9516.0,2010.0,3622.0,0.334,0.662,-0.179,0.646
1556231,9422.0,1618.0,3588.0,0.339,0.657,-0.176,0.65
1556247,9532.0,2686.0,3942.0,0.345,0.651,-0.173,0.653
1556263,9564.0,2546.0,4406.0,0.353,0.644,-0.17,0.657
1556279,9824.0,1654.0,4386.0,0.36,0.636,-0.167,0.661
1556305,10442.0,2242.0,4684.0,0.368,0.628,-0.162,0.667
1556321,10178.0,2576.0,4514.0,0.375,0.618,-0.157,0.673
1556337,10592.0,2424.0,4856.0,0.384,0.606,-0.152,0.68
1556353,10804.0,2402.0,4832.0,0.392,0.594,-0.146,0.687
1556370,10678.0,2160.0,4888.0,0.401,0.58,-0.139,0.696
1556386,10746.0,2918.0,5318.0,0.41,0.565,-0.131,0.704
1556412,10618.0,2912.0,5282.0,0.419,0.549,-0.123,0.712
1556428,10874.0,3182.0,5296.0,0.429,0.532,-0.114,0.721
1556444,10420.0,3044.0,5606.0,0.439,0.515,-0.106,0.729
1556460,10434.0,2822.0,5602.0,0.449,0.497,-0.097,0.736
1556476,10540.0,3490.0,5668.0,0.459,0.479,-0.088,0.744
1556492,10328.0,3396.0,5734.0,0.469,0.459,-0.078,0.75
1556508,9792.0,3686.0,5836.0,0.479,0.439,-0.068,0.757
1556534,9514.0,3444.0,5864.0,0.489,0.418,-0.059,0.763
1556550,9428.0,3534.0,5482.0,0.5,0.397,-0.048,0.768
1556566,9058.0,3878.0,5272.0,0.509,0.374,-0.038,0.774
1556582,8372.0,3760.0,5350.0,0.519,0.35,-0.028,0.779
1556598,7474.0,3426.0,5390.0,0.529,0.326,-0.017,0.784
1556624,7036.0,3852.0,5340.0,0.538,0.302,-0.008,0.787
1556640,6580.0,3494.0,5112.0,0.546,0.278,0.001,0.79
1556656,6016.0,3114.0,5164.0,0.555,0.254,0.01,0.792
1556672,5306.0,3092.0,5122.0,0.563,0.231,0.018,0.794
1556688,4900.0,2664.0,4804.0,0.57,0.208,0.027,0.794
1556704,4236.0,2738.0,4418.0,0.578,0.186,0.035,0.794
1556730,3636.0,2550.0,4562.0,0.585,0.164,0.042,0.793
1556746,3276.0,1896.0,4278.0,0.591,0.144,0.05,0.792
1556762,2714.0,1888.0,3876.0,0.597,0.125,0.057,0.79
1556778,1956.0,1750.0,3658.0,0.603,0.106,0.065,0.788
1556794,1568.0,1460.0,3260.0,0.608,0.089,0.072,0.786
1556810,1090.0,882.0,2854.0,0.613,0.073,0.08,0.783
1556836,590.0,694.0,1952.0,0.617,0.059,0.088,0.78
1556852,408.0,648.0,1632.0,0.621,0.044,0.096,0.777
1556868,84.0,268.0,1326.0,0.624,0.03,0.105,0.774
1556884,-970.0,388.0,1132.0,0.626,0.018,0.114,0.771
1556900,-1638.0,820.0,1334.0,0.629,0.006,0.121,0.768
1556916,-1978.0,800.0,1306.0,0.63,-0.004,0.126,0.766
1556942,-2536.0,64.0,920.0,0.632,-0.011,0.129,0.764
1556958,-2706.0,-188.0,908.0,0.634,-0.015,0.132,0.762
1556974,-2528.0,118.0,842.0,0.635,-0.016,0.133,0.76
1556990,-2464.0,562.0,470.0,0.636,-0.014,0.134,0.759
1557006,-2122.0,928.0,1014.0,0.637,-0.011,0.133,0.76
1557022,-2090.0,970.0,1346.0,0.636,-0.005,0.13,0.761
1557048,-2136.0,1198.0,2166.0,0.635,0.003,0.125,0.762
1557064,-1660.0,1532.0,2294.0,0.634,0.014,0.117,0.764
1557080,-1008.0,1118.0,2608.0,0.633,0.027,0.108,0.766
1557096,-118.0,1088.0,2858.0,0.632,0.042,0.098,0.767
1557112,608.0,1024.0,3210.0,0.63,0.06,0.088,0.769
1557128,1030.0,1022.0,3298.0,0.628,0.08,0.079,0.77
1557154,1282.0,1980.0,4252.0,0.626,0.103,0.069,0.77
1557170,1910.0,2222.0,4290.0,0.624,0.127,0.058,0.769
1557186,3066.0,1770.0,4202.0,0.621,0.153,0.047,0.767
1557202,3888.0,2522.0,4192.0,0.618,0.179,0.037,0.764
1557218,4202.0,2826.0,4576.0,0.615,0.206,0.028,0.761
1557234,4396.0,2976.0,4944.0,0.61,0.233,0.019,0.757
1557260,5290.0,3362.0,5316.0,0.605,0.261,0.011,0.752
1557276,5826.0,4058.0,5346.0,0.599,0.289,0.002,0.747
1557292,7062.0,3950.0,5168.0,0.591,0.315,-0.007,0.742
1557308,7274.0,3940.0,5468.0,0.583,0.341,-0.014,0.737
1557324,7366.0,4514.0,6238.0,0.575,0.365,-0.021,0.732
1557350,8048.0,4632.0,5930.0,0.566,0.389,-0.028,0.726
1557366,9160.0,4874.0,5418.0,0.556,0.412,-0.035,0.721
1557382,9192.0,5058.0,6304.0,0.546,0.433,-0.04,0.716
1557398,8546.0,4828.0,6268.0,0.537,0.453,-0.047,0.71
1557414,9402.0,4842.0,5978.0,0.527,0.473,-0.053,0.704
1557430,9410.0,4698.0,5218.0,0.517,0.492,-0.059,0.698
1557446,9854.0,4976.0,5124.0,0.507,0.51,-0.064,0.692
1557472,9814.0,4892.0,5026.0,0.498,0.527,-0.069,0.686
1557488,9378.0,4748.0,5040.0,0.489,0.543,-0.075,0.679
1557504,9156.0,4812.0,5178.0,0.48,0.558,-0.081,0.672
1557520,9482.0,3924.0,4338.0,0.472,0.573,-0.087,0.665
1557536,9846.0,4884.0,4082.0,0.463,0.587,-0.093,0.658
1557562,10006.0,4026.0,3754.0,0.453,0.6,-0.098,0.652
1557578,9898.0,4082.0,4024.0,0.444,0.611,-0.103,0.647
